Runtime (minutes),mixgraph_kml,mixgraph_vanilla,readahead
0.0,0.001,0.001,16.0
0.016666666666666666,0.002,0.002,16.0
0.03333333333333333,0.003,0.003,960.0
0.05,0.004,0.004,16.0
0.06666666666666667,0.005,0.005,16.0
0.08333333333333333,0.006,0.006,16.0
0.1,0.007,0.007,16.0
0.11666666666666667,0.008,0.008,16.0
0.13333333333333333,0.009,0.009,960.0
0.15,0.01,0.01,16.0
0.16666666666666666,0.011,0.011,960.0
0.18333333333333332,0.012,0.012,16.0
0.2,0.013,0.013,16.0
0.21666666666666667,0.014,0.014,960.0
0.23333333333333334,0.015,0.015,
0.25,0.001,0.001,
0.26666666666666666,0.002,0.002,
0.2833333333333333,0.003,0.003,
0.3,0.004,0.004,
0.31666666666666665,0.005,0.005,
0.3333333333333333,0.006,0.006,
0.35,0.007,0.007,
0.36666666666666664,0.008,0.008,
0.38333333333333336,0.009,0.009,
0.4,0.01,0.01,
0.4166666666666667,0.011,0.011,
0.43333333333333335,0.012,0.012,
0.45,0.013,0.013,
0.4666666666666667,0.014,0.014,
0.48333333333333334,0.015,0.015,
0.5,,0.001,
0.5166666666666667,,0.002,
0.5333333333333333,,0.003,
0.55,,0.004,
0.5666666666666667,,0.005,
0.5833333333333334,,0.006,
0.6,,0.007,
0.6166666666666667,,0.008,
0.6333333333333333,,0.009,
0.65,,0.01,
0.6666666666666666,,0.011,
0.6833333333333333,,0.012,
0.7,,0.013,
0.7166666666666667,,0.014,
0.7333333333333333,,0.015,
0.75,,0.001,
0.7666666666666667,,0.002,
0.7833333333333333,,0.003,
0.8,,0.004,
0.8166666666666667,,0.005,
0.8333333333333334,,0.006,
0.85,,0.007,
0.8666666666666667,,0.008,
0.8833333333333333,,0.009,
0.9,,0.01,
0.9166666666666666,,0.011,
0.9333333333333333,,0.012,
0.95,,0.013,
0.9666666666666667,,0.014,
0.9833333333333333,,0.015,
1.0,,0.001,
1.0166666666666666,,0.002,
1.0333333333333334,,0.003,
1.05,,0.004,
1.0666666666666667,,0.005,
1.0833333333333333,,0.006,
1.1,,0.007,
1.1166666666666667,,0.008,
1.1333333333333333,,0.009,
1.15,,0.01,
1.1666666666666667,,0.011,
1.1833333333333333,,0.012,
1.2,,0.013,
1.2166666666666666,,0.014,
1.2333333333333334,,0.015,
1.25,,0.001,
1.2666666666666666,,0.002,
1.2833333333333334,,0.003,
1.3,,0.004,
1.3166666666666667,,0.005,
1.3333333333333333,,0.006,
1.35,,0.007,
1.3666666666666667,,0.008,
1.3833333333333333,,0.009,
1.4,,0.01,
1.4166666666666667,,0.011,
1.4333333333333333,,0.012,
1.45,,0.013,
1.4666666666666666,,0.014,
1.4833333333333334,,0.015,
1.5,,0.001,
1.5166666666666666,,0.002,
1.5333333333333334,,0.003,
1.55,,0.004,
1.5666666666666667,,0.005,
1.5833333333333333,,0.006,
1.6,,0.007,
1.6166666666666667,,0.008,
1.6333333333333333,,0.009,
1.65,,0.01,
1.6666666666666667,,0.011,
1.6833333333333333,,0.012,
1.7,,0.013,
1.7166666666666666,,0.014,
1.7333333333333334,,0.015,
1.75,,0.001,
1.7666666666666666,,0.002,
1.7833333333333334,,0.003,
1.8,,0.004,
1.8166666666666667,,0.005,
1.8333333333333333,,0.006,
1.85,,0.007,
1.8666666666666667,,0.008,
1.8833333333333333,,0.009,
1.9,,0.01,
1.9166666666666667,,0.011,
1.9333333333333333,,0.012,
1.95,,0.013,
1.9666666666666666,,0.014,
1.9833333333333334,,0.015,
2.0,,0.001,
2.0166666666666666,,0.002,
2.033333333333333,,0.003,
2.05,,0.004,
2.066666666666667,,0.005,
2.0833333333333335,,0.006,
2.1,,0.007,
2.1166666666666667,,0.008,
2.1333333333333333,,0.009,
2.15,,0.01,
2.1666666666666665,,0.011,
2.183333333333333,,0.012,
2.2,,0.013,
2.216666666666667,,0.014,
2.2333333333333334,,0.015,
2.25,,0.001,
2.2666666666666666,,0.002,
2.283333333333333,,0.003,
2.3,,0.004,
2.316666666666667,,0.005,
2.3333333333333335,,0.006,
2.35,,0.007,
2.3666666666666667,,0.008,
2.3833333333333333,,0.009,
2.4,,0.01,
2.4166666666666665,,0.011,
2.433333333333333,,0.012,
2.45,,0.013,
2.466666666666667,,0.014,
2.4833333333333334,,0.015,
