Runtime (minutes),readrandom_kml,readrandom_vanilla,readahead
0.0,0.001,0.001,16.0
0.016666666666666666,0.002,0.002,16.0
0.03333333333333333,0.003,0.003,16.0
0.05,0.004,0.004,16.0
0.06666666666666667,0.005,0.005,16.0
0.08333333333333333,0.006,0.006,16.0
0.1,0.007,0.007,16.0
0.11666666666666667,0.008,0.008,16.0
0.13333333333333333,0.009,0.009,16.0
0.15,0.01,0.01,16.0
0.16666666666666666,0.011,0.011,16.0
0.18333333333333332,0.012,0.012,16.0
0.2,0.013,0.013,16.0
0.21666666666666667,0.014,0.014,
0.23333333333333334,0.015,0.015,
