Runtime (minutes),readseq_kml,readseq_vanilla,readahead
0.0,0.001,0.001,16.0
0.016666666666666666,0.002,0.002,16.0
0.03333333333333333,0.003,0.003,16.0
0.05,0.004,0.004,16.0
0.06666666666666667,0.005,0.005,16.0
0.08333333333333333,0.006,0.006,16.0
0.1,0.007,0.007,16.0
0.11666666666666667,0.008,0.008,16.0
0.13333333333333333,0.009,0.009,16.0
0.15,0.01,0.01,16.0
0.16666666666666666,0.011,0.011,16.0
0.18333333333333332,0.012,0.012,16.0
0.2,0.013,0.013,16.0
0.21666666666666667,0.014,0.014,16.0
0.23333333333333334,0.015,0.015,16.0
0.25,0.016,0.016,16.0
0.26666666666666666,0.017,0.017,16.0
0.2833333333333333,0.018,0.018,16.0
0.3,0.019,0.019,16.0
0.31666666666666665,0.02,0.02,16.0
0.3333333333333333,0.021,0.021,960.0
0.35,0.022,0.022,16.0
0.36666666666666664,0.023,0.023,16.0
0.38333333333333336,0.024,0.024,16.0
0.4,0.025,0.025,16.0
0.4166666666666667,0.026,0.026,16.0
0.43333333333333335,0.027,0.027,16.0
0.45,0.028,0.028,16.0
0.4666666666666667,0.029,0.029,16.0
0.48333333333333334,0.03,0.03,16.0
0.5,0.031,0.031,16.0
0.5166666666666667,0.032,0.032,16.0
0.5333333333333333,0.033,0.033,16.0
0.55,0.034,0.034,16.0
0.5666666666666667,0.035,0.035,16.0
0.5833333333333334,0.036,0.036,16.0
0.6,0.037,0.037,16.0
0.6166666666666667,0.038,0.038,16.0
0.6333333333333333,0.039,0.039,16.0
0.65,0.04,0.04,16.0
0.6666666666666666,0.041,0.041,16.0
0.6833333333333333,0.042,0.042,16.0
0.7,0.043,0.043,16.0
0.7166666666666667,0.044,0.044,16.0
0.7333333333333333,0.045,0.045,
0.75,0.046,0.046,
0.7666666666666667,0.047,0.047,
0.7833333333333333,0.048,0.048,
0.8,0.049,0.049,
0.8166666666666667,0.05,0.05,
